,Identifiant,GroupeEtMention,Titre,Date,Nom du contact,orga du contact,Url,Children,Parent,Fcats,BroAndSisters,Store
0,da165110-88fd-11da-a88f-000d939bc5d8, Zone atelier bassin du Rhône,"Hydrological Basins in Africa (Sample record, please remove!)",2007-11-06T12:13:00,['Jippe Hoogeveen'],['FAO - NRCW'],"['http://www.fao.org/ag/AGL/aglw/aquastat/watresafrica/index.stm', 'https://cat.indores.fr/geonetwork/srv/api/records/da165110-88fd-11da-a88f-000d939bc5d8/attachments/basins.zip', 'http://data.fao.org/maps/wms']",[],[],[],[],à déterminer
1,54f44a3e-4ca1-4c23-a3aa-a9d0d380e0a8, Zone atelier bassin du Rhône,Recensement des zones humides du département de l'Ardèche,2012-08-02T11:54:56,[],['Fédération Départementale de Pêche (07)'],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[],à déterminer
2,728d71e2-3ed4-419c-bb81-f5c5e883e94a, Zone atelier Armorique,"Réseau de haies (Pleine-Fougères, 2000) - Zone Atelier Armorique ZAAr",2018-06-28T11:24:47,['nabucet jean'],['LETG-Rennes Costel'],['http://preprod.osuris.org/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875 ', 'https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=5742154d-98ca-46f0-9ba3-8829282de728']",[],à déterminer
3,ba0f0275-5e6d-4a52-a1d9-07621b3376c7, Zone atelier Armorique,"Occupation du sol (Pleine-Fougères, 2005) - Zone Atelier Armorique ZAAr",2018-06-13T16:44:18,['nabucet jean'],['LETG-Rennes Costel'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875']",[],à déterminer
4,2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474, Zone atelier Brest Iroise,Topographie de la flèche littorale de Mengleuz en avril 2005,2024-01-10T12:01:26Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474/attachments/Erreurs_mesures_Mengleuz.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474/attachments/MNT_MENGLEUZ_2005_04_L2E.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/2d7c94a9-abe6-4f7a-83c5-ec0a72ecc474/attachments/SEMIS_MENGLEUZ_2005_04_L2E.txt']",[],[],[],[],à déterminer
5,344350d2-8e26-4b55-b4af-beed01f317dd, Zone atelier Armorique,"Mini réseau de haie double (Pleine-Fougères, secteur B, 2013) -Zone Atelier Armorique ZAAr",2018-06-13T16:58:54,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Suivi_bordure_Mini_Reseau_B_Haie_dbl_ZAA&styles=&bbox=362880.330706237936832571.145143139363996.61397318556833785.717407479&width=470&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[],à déterminer
6,da18fd01-adf4-490b-a8d4-7f398581fef5, Zone atelier Brest Iroise,MNT de l’anse de Troaon (rade de Brest) en janvier 2006,2019-02-11T12:42:35Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/TROA_2006_01_18.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/TROA_2006_01_18.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/TROA_2006_01_18_LR.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/Erreurs_mesures_Troaon.pdf', 'https://cat.indores.fr/geonetwork/srv/api/records/da18fd01-adf4-490b-a8d4-7f398581fef5/attachments/MNT_TROAON_2006_01_L1.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[],à déterminer
7,c6c2912b-7098-48a6-ac21-385daee98e73, Zone Atelier Seine,,2020-02-04T12:28:03,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[],à déterminer
8,oai:search-data.ubfc.fr:FR-18008901306731-2017-03-14, Zone atelier arc jurassien,"Pollen analysis - Labergement-Sainte-Marie (F-25), Between the two lakes. M. Magny/V. Bichet Transects",2017-03-14,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[],à déterminer
9,oai:search-data.ubfc.fr:FR-18008901306731-2017-03-10, Zone atelier arc jurassien,"Pollen analysis - Pont-du-Navoy (F-39), lower river terrace of the Ain river",2017-03-10,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[],à déterminer
10,oai:search-data.ubfc.fr:FR-18008901306731-2017-02-16-02, Zone atelier arc jurassien,Permanent grasslands of the French Jura Mountains (synchronic study BioGEcoP),2017-10-01,"['Gillet, François', 'Mauchamp, Leslie', 'Mouly, Arnaud']",['Laboratoire Chrono-environnement (UMR 6249)'],['http://www.theses.fr/2014BESA2036'],[],[],[],[],à déterminer
