,niv1,niv2,ids_niv1,ids_niv2,val,niv0
0.0,Data INRAE,Experimental - Observation - Simulation Dataverse,123960.0,9,1,Recherche Data Gouv
1.0,Data INRAE, Omics Dataverse,123960.0, 13,1,Recherche Data Gouv
2.0,Data INRAE, Surveys & Texts Dataverse,123960.0, 16,1,Recherche Data Gouv
3.0,Data INRAE, Noaw Project,123960.0, 8717,1,Recherche Data Gouv
4.0,Data INRAE, AMAP,123960.0, 8723,1,Recherche Data Gouv
5.0,Data INRAE, CIRCASA,123960.0, 8725,1,Recherche Data Gouv
6.0,Data INRAE, AgroResonance ,123960.0, 8847,1,Recherche Data Gouv
7.0,Data INRAE, Christophe Gouel Dataverse,123960.0, 76106,1,Recherche Data Gouv
8.0,Data INRAE, UMR IGEPP,123960.0, 77713,1,Recherche Data Gouv
9.0,Data INRAE, Unité expérimentale d’écologie et d’écotoxicologie aquatique,123960.0, 84087,1,Recherche Data Gouv
10.0,Data INRAE, Glopack project,123960.0, 84413,1,Recherche Data Gouv
11.0,Data INRAE, UMR Silva,123960.0, 86452,1,Recherche Data Gouv
12.0,Data INRAE, UMR Eco&Sols,123960.0, 86720,1,Recherche Data Gouv
13.0,Data INRAE, UMR SMART,123960.0, 94801,1,Recherche Data Gouv
14.0,Data INRAE, Odalim,123960.0, 95865,1,Recherche Data Gouv
15.0,Data INRAE, GAFL,123960.0, 95876,1,Recherche Data Gouv
16.0,Data INRAE, UR ASTER,123960.0, 96076,1,Recherche Data Gouv
17.0,Data INRAE, UREP,123960.0, 98012,1,Recherche Data Gouv
18.0,Data INRAE, HYCAR,123960.0, 98507,1,Recherche Data Gouv
19.0,Data INRAE, PEGASE,123960.0, 98963,1,Recherche Data Gouv
20.0,Data INRAE, UMR G-EAU,123960.0, 99318,1,Recherche Data Gouv
21.0,Data INRAE, XYLODENSMAP Dataverse,123960.0, 100888,1,Recherche Data Gouv
22.0,Data INRAE, Dataverse ETTIS,123960.0, 100949,1,Recherche Data Gouv
23.0,Data INRAE, Elsa,123960.0, 100950,1,Recherche Data Gouv
24.0,Data INRAE, NAIAD_H2020,123960.0, 104101,1,Recherche Data Gouv
25.0,Data INRAE, NuMeCan,123960.0, 104443,1,Recherche Data Gouv
26.0,Data INRAE, FooSIN Dataverse,123960.0, 106140,1,Recherche Data Gouv
27.0,Data INRAE, Direction de l’expertise scientifique collective,123960.0, 106217,1,Recherche Data Gouv
28.0,Data INRAE, de la prospective et des études Dataverse,123960.0, 109433,1,Recherche Data Gouv
29.0,Data INRAE, FAIRCHAIN,123960.0, 113927,1,Recherche Data Gouv
30.0,Data INRAE, AgroClim Dataverse,123960.0, 113933,1,Recherche Data Gouv
31.0,Data INRAE, BIBS Dataverse,123960.0, 114241,1,Recherche Data Gouv
32.0,Data INRAE, Reactivity during baking of model cakes,123960.0, 115952,1,Recherche Data Gouv
33.0,Data INRAE, BioEcoAgro,123960.0, 119999,1,Recherche Data Gouv
34.0,Data INRAE, Département ACT,123960.0, 120000,1,Recherche Data Gouv
35.0,Data INRAE, USC GRAPPE,123960.0, 121249,1,Recherche Data Gouv
36.0,Data INRAE, TETIS,123960.0, 121518,1,Recherche Data Gouv
37.0,Data INRAE, Dataverse COASTAL,123960.0, 122166,1,Recherche Data Gouv
38.0,Data INRAE, UE CITRUS,123960.0, 122619,1,Recherche Data Gouv
39.0,Data INRAE, RIVERLY,123960.0, 122723,1,Recherche Data Gouv
40.0,Data INRAE, PPR SUCSEED,123960.0, 123088,1,Recherche Data Gouv
41.0,Data INRAE, LABERCA,123960.0, 123454,1,Recherche Data Gouv
42.0,Data INRAE, SADAPT Dataverse,123960.0, 123458,1,Recherche Data Gouv
43.0,Data INRAE, UMR-STLO Dataverse,123960.0, 123482,1,Recherche Data Gouv
44.0,Data INRAE, Plateforme ESV Dataverse,123960.0, 123534,1,Recherche Data Gouv
45.0,Data INRAE, UE Maraichage Dataverse,123960.0, 124014,1,Recherche Data Gouv
46.0,Data INRAE, CIRM - Centre International de Ressources Microbiennes,123960.0, 124101,1,Recherche Data Gouv
47.0,Data INRAE, EOSC-Pillar,123960.0, 140924,1,Recherche Data Gouv
48.0,Data INRAE, LESSEM,123960.0, 141099,1,Recherche Data Gouv
49.0,Data INRAE, UMR BF2I,123960.0, 141125,1,Recherche Data Gouv
50.0,Data INRAE, MoSAR,123960.0, 142213,1,Recherche Data Gouv
51.0,Data INRAE, UMR SPO,123960.0, 142287,1,Recherche Data Gouv
52.0,Data INRAE, Spodoptera littoralis genome mining brings insights on the dynamic of expansion of gustatory receptors in polyphagous noctuidae,123960.0, 142523,1,Recherche Data Gouv
53.0,Data INRAE, Baptiste Girault,123960.0, 142525,1,Recherche Data Gouv
54.0,Data INRAE, ARABREED,123960.0, 146190,1,Recherche Data Gouv
55.0,Data INRAE, GABI Dataverse,123960.0, 148124,1,Recherche Data Gouv
56.0,Data INRAE, UR EFNO Ecosystèmes forestiers,123960.0, 148485,1,Recherche Data Gouv
57.0,Data INRAE, Institut Européen de la Forêt cultivée,123960.0, 148621,1,Recherche Data Gouv
58.0,Data INRAE, UMR AGIR Dataverse,123960.0, 148963,1,Recherche Data Gouv
59.0,Data INRAE, Thèse : Résilience du système cyathostomes x microbiote digestif à une perturbation,123960.0, 151188,1,Recherche Data Gouv
60.0,Data INRAE, AgroBRC – RARe,123960.0, 151201,1,Recherche Data Gouv
61.0,Data INRAE, MycSA Dataverse,123960.0, 153180,1,Recherche Data Gouv
62.0,Data INRAE, URP3F,123960.0, 161334,1,Recherche Data Gouv
63.0,Data INRAE, IATE research unit,123960.0, 161447,1,Recherche Data Gouv
64.0,Data INRAE, AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic,123960.0, 161451,1,Recherche Data Gouv
65.0,Data INRAE, social and environmental opportunities,123960.0, 161851,1,Recherche Data Gouv
66.0,Data INRAE," ""UE PEIMA - Pisciculture Expérimentale INRAE des Monts dArrées""",123960.0, 164988,1,Recherche Data Gouv
67.0,Data INRAE, UMR Agroécologie,123960.0, 165248,1,Recherche Data Gouv
68.0,Data INRAE, UR QUAPA,123960.0, 165249,1,Recherche Data Gouv
69.0,Data INRAE, GQE-Le Moulon,123960.0, 166056,1,Recherche Data Gouv
70.0,Data INRAE, Lignin database,123960.0, 166916,1,Recherche Data Gouv
71.0,Data INRAE, Laboratoire Reproduction et Développement des Plantes,123960.0, 172841,1,Recherche Data Gouv
72.0,Data INRAE, EGFV,123960.0, 176079,1,Recherche Data Gouv
73.0,Data INRAE, ANR MoBiDiv,123960.0, 176439,1,Recherche Data Gouv
74.0,Data INRAE, E-MUSE,123960.0, 178271,1,Recherche Data Gouv
75.0,Data INRAE, BOA,123960.0, 183123,1,Recherche Data Gouv
76.0,Data INRAE, UMR RECOVER,123960.0, 183433,1,Recherche Data Gouv
77.0,Data INRAE, ECODEV,123960.0, 188836,1,Recherche Data Gouv
78.0,Data INRAE, IJPB for Plant Sciences Dataverse,123960.0, 197204,1,Recherche Data Gouv
79.0,Data INRAE, DACE-DL dataverse,123960.0, 197224,1,Recherche Data Gouv
80.0,Data INRAE, Institut des Sciences des Plantes de Montpellier,123960.0, 201391,1,Recherche Data Gouv
81.0,Data INRAE, UMR SayFood,123960.0, 201974,1,Recherche Data Gouv
82.0,Data INRAE, Sciences du Bois,123960.0, 202158,1,Recherche Data Gouv
83.0,Data INRAE, UMR 1419 Nutrition,123960.0,,1,Recherche Data Gouv
84.0,Data INRAE, Métabolisme,123960.0,,1,Recherche Data Gouv
85.0,Data INRAE, Aquaculture (NuMéA),123960.0,,1,Recherche Data Gouv
86.0,Data INRAE, Explore2,123960.0,,1,Recherche Data Gouv
87.0,Espace Générique,Revues anonymes,123967.0,142710,1,Recherche Data Gouv
88.0,DOREL (Université de Lorraine),LMOPS,125166.0,179084,1,Recherche Data Gouv
89.0,DOREL (Université de Lorraine), Archives Henri-Poincaré,125166.0, 179085,1,Recherche Data Gouv
90.0,DOREL (Université de Lorraine), IJL,125166.0, 179086,1,Recherche Data Gouv
91.0,DOREL (Université de Lorraine), URAFPA,125166.0, 179087,1,Recherche Data Gouv
92.0,DOREL (Université de Lorraine), CREM,125166.0, 179088,1,Recherche Data Gouv
93.0,DOREL (Université de Lorraine), LEM3,125166.0, 179089,1,Recherche Data Gouv
94.0,DOREL (Université de Lorraine), CRM2,125166.0, 179090,1,Recherche Data Gouv
95.0,DOREL (Université de Lorraine), PErSEUs,125166.0, 179091,1,Recherche Data Gouv
96.0,DOREL (Université de Lorraine), LOTERR,125166.0, 179093,1,Recherche Data Gouv
97.0,DOREL (Université de Lorraine), LRGP,125166.0, 179094,1,Recherche Data Gouv
98.0,DOREL (Université de Lorraine), Calbinotox,125166.0, 179095,1,Recherche Data Gouv
99.0,DOREL (Université de Lorraine), Silva,125166.0, 179096,1,Recherche Data Gouv
100.0,DOREL (Université de Lorraine), LIBio,125166.0, 179097,1,Recherche Data Gouv
101.0,DOREL (Université de Lorraine), DynAMic,125166.0, 179099,1,Recherche Data Gouv
102.0,DOREL (Université de Lorraine), CRAN,125166.0, 179100,1,Recherche Data Gouv
103.0,DOREL (Université de Lorraine), IECL,125166.0, 179101,1,Recherche Data Gouv
104.0,DOREL (Université de Lorraine), LCOMS,125166.0, 179103,1,Recherche Data Gouv
105.0,DOREL (Université de Lorraine), ERPI,125166.0, 179104,1,Recherche Data Gouv
106.0,DOREL (Université de Lorraine), APEMAC,125166.0, 179105,1,Recherche Data Gouv
107.0,DOREL (Université de Lorraine), GREEN,125166.0, 179107,1,Recherche Data Gouv
108.0,DOREL (Université de Lorraine), CITHEFOR,125166.0, 179108,1,Recherche Data Gouv
109.0,DOREL (Université de Lorraine), Direction de la Documentation,125166.0, 179110,1,Recherche Data Gouv
110.0,DOREL (Université de Lorraine), DevAH,125166.0, 179111,1,Recherche Data Gouv
111.0,DOREL (Université de Lorraine), IMoPA,125166.0, 179115,1,Recherche Data Gouv
112.0,DOREL (Université de Lorraine), SIMPA,125166.0, 179116,1,Recherche Data Gouv
113.0,DOREL (Université de Lorraine), NGERE,125166.0, 179117,1,Recherche Data Gouv
114.0,DOREL (Université de Lorraine), CEREFIGE,125166.0, 179120,1,Recherche Data Gouv
115.0,DOREL (Université de Lorraine), LSE,125166.0, 179121,1,Recherche Data Gouv
116.0,DOREL (Université de Lorraine), IFG,125166.0, 179122,1,Recherche Data Gouv
117.0,DOREL (Université de Lorraine), CERCLE,125166.0, 179123,1,Recherche Data Gouv
118.0,DOREL (Université de Lorraine), CEGIL,125166.0, 179124,1,Recherche Data Gouv
119.0,DOREL (Université de Lorraine), IRENEE,125166.0, 179125,1,Recherche Data Gouv
120.0,DOREL (Université de Lorraine), ÉCRITURES,125166.0, 179126,1,Recherche Data Gouv
121.0,DOREL (Université de Lorraine), IDEA,125166.0, 179127,1,Recherche Data Gouv
122.0,DOREL (Université de Lorraine), LIS,125166.0, 179128,1,Recherche Data Gouv
123.0,DOREL (Université de Lorraine), 2LPN,125166.0, 179130,1,Recherche Data Gouv
124.0,DOREL (Université de Lorraine), InterPsy,125166.0, 179132,1,Recherche Data Gouv
125.0,DOREL (Université de Lorraine), 2L2S,125166.0, 179133,1,Recherche Data Gouv
126.0,DOREL (Université de Lorraine), LCP-A2MC,125166.0, 179136,1,Recherche Data Gouv
127.0,DOREL (Université de Lorraine), LCPME,125166.0, 179137,1,Recherche Data Gouv
128.0,DOREL (Université de Lorraine), LORIA,125166.0, 179138,1,Recherche Data Gouv
129.0,DOREL (Université de Lorraine), LEMTA,125166.0, 179139,1,Recherche Data Gouv
130.0,DOREL (Université de Lorraine), LAE,125166.0, 179140,1,Recherche Data Gouv
131.0,DOREL (Université de Lorraine), L2CM,125166.0, 179141,1,Recherche Data Gouv
132.0,DOREL (Université de Lorraine), CRULH,125166.0, 179142,1,Recherche Data Gouv
133.0,DOREL (Université de Lorraine), HISCANT-MA,125166.0, 179143,1,Recherche Data Gouv
134.0,DOREL (Université de Lorraine), Centre Pierre Janet,125166.0, 179144,1,Recherche Data Gouv
135.0,DOREL (Université de Lorraine), LIEC,125166.0, 179145,1,Recherche Data Gouv
136.0,Université de Strasbourg,Joint Research Unit Chemistry of Complex Matter,125167.0,134623,1,Recherche Data Gouv
137.0,Université de Strasbourg, Laboratory of Bioimaging and Pathologies - LBP - UMR 7021,125167.0, 134652,1,Recherche Data Gouv
138.0,Université de Strasbourg, Sociétés,125167.0, 147059,1,Recherche Data Gouv
139.0,Université de Strasbourg, Acteurs,125167.0, 156728,1,Recherche Data Gouv
140.0,Université de Strasbourg, Gouvernement en Europe - SAGE - UMR 7363,125167.0, 156865,1,Recherche Data Gouv
141.0,Université de Strasbourg, Institut des Neurosciences Cellulaires et Intégratives - INCI - UPR 3212,125167.0, 157710,1,Recherche Data Gouv
142.0,Université de Strasbourg, iCUBE - Science des Données et Connaissances - UMR 7357,125167.0, 158541,1,Recherche Data Gouv
143.0,Université de Strasbourg, Santé de la Vigne et Qualité du Vin - SVQV - UMR_A 1131,125167.0, 161283,1,Recherche Data Gouv
144.0,Université de Strasbourg, Institut Pluridisciplinaire Hubert Curien - IPHC - UMR 7178,125167.0, 163728,1,Recherche Data Gouv
145.0,Université de Strasbourg, Institut National des Sciences Appliquées Strasbourg - INSA Strasbourg,125167.0, 175534,1,Recherche Data Gouv
146.0,Université de Strasbourg, Institut de génétique,125167.0, 176316,1,Recherche Data Gouv
147.0,Université de Strasbourg, biologie moléculaire et cellulaire - IGBMC - UMR 7104,125167.0, 218119,1,Recherche Data Gouv
148.0,Université de Strasbourg, Droit,125167.0,,1,Recherche Data Gouv
149.0,Université de Strasbourg, religion,125167.0,,1,Recherche Data Gouv
150.0,Université de Strasbourg, entreprise et société - DRES - UMR 7354,125167.0,,1,Recherche Data Gouv
151.0,Université de Strasbourg, Laboratoire d’Innovation Moléculaire et Applications - LIMA - UMR 7042,125167.0,,1,Recherche Data Gouv
152.0,Université de Strasbourg, Institut de physique et chimie des Matériaux de Strasbourg - IPCMS - UMR7504,125167.0,,1,Recherche Data Gouv
153.0,Data Repository Grenoble Alpes,OSUG,125168.0,142915,1,Recherche Data Gouv
154.0,Data Repository Grenoble Alpes, LITT&ArTS,125168.0, 145397,1,Recherche Data Gouv
155.0,Data Repository Grenoble Alpes, Gipsa-Lab,125168.0, 146390,1,Recherche Data Gouv
156.0,Data Repository Grenoble Alpes, SPINTEC,125168.0, 150583,1,Recherche Data Gouv
157.0,Data Repository Grenoble Alpes, Observatoire de la Transition Énergétique,125168.0, 158365,1,Recherche Data Gouv
158.0,Data Repository Grenoble Alpes, Institut de Biologie Structurale,125168.0, 176444,1,Recherche Data Gouv
159.0,Lillodata - Entrepôt de données de l'Université de Lille,SCALab,125169.0,142260,1,Recherche Data Gouv
160.0,Lillodata - Entrepôt de données de l'Université de Lille, IEMN,125169.0, 145484,1,Recherche Data Gouv
161.0,Lillodata - Entrepôt de données de l'Université de Lille, TVES - ULR 4477 ,125169.0, 147065,1,Recherche Data Gouv
162.0,Lillodata - Entrepôt de données de l'Université de Lille, GERiiCO,125169.0, 147157,1,Recherche Data Gouv
163.0,Lillodata - Entrepôt de données de l'Université de Lille, Lexique,125169.0, 148245,1,Recherche Data Gouv
164.0,Lillodata - Entrepôt de données de l'Université de Lille, Espace,125169.0, 148262,1,Recherche Data Gouv
165.0,Lillodata - Entrepôt de données de l'Université de Lille, Populations,125169.0, 148520,1,Recherche Data Gouv
166.0,Lillodata - Entrepôt de données de l'Université de Lille, Sociétés,125169.0, 149320,1,Recherche Data Gouv
167.0,Lillodata - Entrepôt de données de l'Université de Lille, Unité de Glycobiologie Structurale et Fonctionnelle (UGSF) - UMR 8576,125169.0, 150224,1,Recherche Data Gouv
168.0,Lillodata - Entrepôt de données de l'Université de Lille, UREPSSS,125169.0, 151309,1,Recherche Data Gouv
169.0,Lillodata - Entrepôt de données de l'Université de Lille, CRIStAL,125169.0, 157548,1,Recherche Data Gouv
170.0,Lillodata - Entrepôt de données de l'Université de Lille, PSITEC,125169.0, 162923,1,Recherche Data Gouv
171.0,Lillodata - Entrepôt de données de l'Université de Lille, UMET ,125169.0, 168803,1,Recherche Data Gouv
172.0,Lillodata - Entrepôt de données de l'Université de Lille, Lille économie management - UMR 9221,125169.0, 168824,1,Recherche Data Gouv
173.0,Lillodata - Entrepôt de données de l'Université de Lille, L2EP,125169.0, 185786,1,Recherche Data Gouv
174.0,Lillodata - Entrepôt de données de l'Université de Lille, Unité Evolution,125169.0, 192761,1,Recherche Data Gouv
175.0,Lillodata - Entrepôt de données de l'Université de Lille, Ecologie et Paléontologie (Evo-Eco-Paléo),125169.0, 307986,1,Recherche Data Gouv
176.0,Lillodata - Entrepôt de données de l'Université de Lille, UCCS,125169.0,,1,Recherche Data Gouv
177.0,Lillodata - Entrepôt de données de l'Université de Lille, PhLAM,125169.0,,1,Recherche Data Gouv
178.0,Lillodata - Entrepôt de données de l'Université de Lille, Laboratoire de Mécanique des Fluides de Lille - Kampé de Fériet,125169.0,,1,Recherche Data Gouv
179.0,Université Toulouse Jean-Jaurès,Centre for anglophone studies (CAS),125170.0,142851,1,Recherche Data Gouv
