,Date,location,groupPublished,Org,cl_topic.langfre,keywordType-place.langfre,cl_topic.default,keywordType-place.default,th_external-place-departements.default,th_external-place-departements.langfre,th_external-place-ore.default,th_otherKeywords-place.default,th_otherKeywords-place.langfre,th_external-place-thematiques.default,th_external-place-ore.langfre,th_external-place-thematiques.langfre,resourceTitleObject.default,cl_useConstraints.default,uuid,format,owner,recordOwner,standardNameObject.default,ZAA,ZAAJ,ZAAR,ZAEU,ZAS,ZAM,ZABRI,ZABR,ZAL,ZAPygar,Year,long,lat
0,2024-05-03 09:34:23.491000+00:00,"{
  ""coordinates"": [
    1.6118999999999999,
    44.802049999999994
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet",umr 5175 centre d'ecologie fonctionnelle & evolutive,-,-,"Biota, Environment",-,-,-,-,-,-,-,-,-,"Flying, feeding and perching data recorded on captive vultures from Rocher des Aigles",License,73eb98b6-cf06-4fae-9eaa-539011d5aa85,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,1.6118999999999999,44.802049999999994
1,2024-05-02 14:32:46.534000+00:00,"{
  ""coordinates"": [
    5.3313,
    44.870450000000005
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,"Eaux intérieures, Hydrographie, Environnement","OHM VR, Rhône, Plaine alluviale, Cours du Rhône français","Eaux intérieures, Hydrographie, Environnement","OHM VR, Rhône, Plaine alluviale, Cours du Rhône français",-,-,-,"OHM VR, Rhône, Plaine alluviale","OHM VR, Rhône, Plaine alluviale",-,-,-,Cartographie multi-temporelle (1950-2020) de la végétation dans la plaine alluviale du Rhône,-,230d544d-08a1-4701-abdc-aead2c6172d2,esri shapefile,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,5.3313,44.870450000000005
2,2024-05-02 09:27:50.324000+00:00,"{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet",umr 5175 centre d'ecologie fonctionnelle & evolutive,-,-,Biota,France,-,-,-,-,-,-,-,-,Genotypic and phenotypic data of ancestral and descendant populations of Viola arvensis in four location of the Parisian region,License,03e1680d-06b6-453f-922c-85080a5f057e,xls,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
3,2024-04-29 11:07:00.004000+00:00,"{
  ""coordinates"": [
    4.773669,
    45.4107275
  ],
  ""type"": ""Point""
}",OHM_VR,umr 5600 evs - ens de lyon,Environnement,"Rhône, OHM VR, Secteur de Peyraud, Vieux Rhône de Péage-de-Roussillon (PK 61.5)",Environnement,"Rhône, OHM VR, Secteur de Peyraud, Vieux Rhône de Péage-de-Roussillon (PK 61.5)",-,-,-,"Rhône, OHM VR","Rhône, OHM VR",-,-,-,Evaluation des polluants organiques présents dans les sédiments de casiers Girardon du Rhône (2018),-,ec109c29-43c3-412e-8aaf-069eff6655c4,xls,100,Samuel Dunesme,ISO 19115:2003/19139,,,,,,,,,,,2024,4.773669,45.4107275
4,2024-04-29 11:04:24+00:00,-,all,non renseigné,-,-,(empty),-,-,-,-,-,-,-,-,-,Template for map,-,a7e9dd72-9ed8-466a-8c56-34deba22ff51,pdf,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
5,2024-04-29 11:04:23+00:00,"{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,non renseigné,-,-,Boundaries,World,-,-,-,World,-,-,-,-,"Template for Vector data in ISO19139
 (preferred!)",otherRestictions,3bdddccd-08d1-4b84-a4aa-07da0a138612,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
6,2024-04-29 11:04:23+00:00,"{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,non renseigné,-,-,-,-,-,-,-,-,-,-,-,-,Template for INSPIRE SDS metadata,-,45260471-60dd-43be-99d3-2ff54c4c6cf5,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
7,2024-04-29 11:04:23+00:00,"{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,non renseigné,-,-,Boundaries,World,-,-,-,World,-,-,-,-,Template for Raster data in ISO19139,otherRestictions,3e99fc6e-9221-44b7-991c-d0209c0dc2d8,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
8,2024-04-29 11:04:23+00:00,"{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,non renseigné,-,-,-,-,-,-,-,-,-,-,-,-,Template for WMS service in ISO19139/119,-,aa3d5bd2-2d07-4254-b6f8-51dabfdbac6d,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
9,2024-04-29 11:04:23+00:00,-,all,non renseigné,-,-,(empty),-,-,-,-,-,-,-,-,-,Deegree22 WFS Fragments Philosopher Database Test Template,-,e45a8ecb-3623-4c3f-933e-0b929acdb465,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
10,2024-04-29 11:04:23+00:00,-,all,non renseigné,-,-,-,-,-,-,-,-,-,-,-,-,Geoserver WFS Fragments Country Boundaries Test Template,-,86a50b0f-d167-4650-b3a2-bc39d2dbf455,non renseigné,114,Noémie Tomadini,-,,,,,,,,,,,2024,0.0,0.0
11,2024-04-29 11:04:23+00:00,-,all,name of the responsible organization,-,-,-,-,-,-,-,-,-,-,-,-,"Name of the responsible organization (Name of the responsible person- surname, given name, title separated by a delimiter)",-,d3ca8075-9383-4251-ac30-d1ecad63186d,non renseigné,114,Noémie Tomadini,-,,,,,,,,,,,2024,0.0,0.0
12,2024-04-29 11:04:22+00:00,"{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,non renseigné,Limites politiques et administratives,-,Boundaries,World,-,-,-,World,-,-,-,-,Template for Vector data in ISO19139 (multilingual),-,81e09b35-ff4f-4f33-b9a9-9ab766652679,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,0.0,0.0
13,2024-04-29 11:04:22+00:00,-,all,non renseigné,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d3cb57b1-27d9-4fff-bf69-b8a7e7260ab1,non renseigné,114,Noémie Tomadini,-,,,,,,,,,,,2024,0.0,0.0
14,2024-04-26 15:11:14.356000+00:00,"{
  ""coordinates"": [
    -61.840999999999994,
    16.103
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet",cnrs umr 7205 isyeb,-,-,Biota,-,-,-,-,-,-,-,-,-,eDNA-based survey of the marine vertebrate biodiversity off the west coast of Guadeloupe (French West Indies),License,ab59e71b-9e22-45a9-b172-f21043caef5b,non renseigné,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,-61.840999999999994,16.103
15,2024-04-26 14:36:36.367000+00:00,"{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,"Climatology, meteorology, atmosphere",France,-,-,-,-,-,-,-,-,Temperature time series of Mormal forest - IMPRINT,License,8fbd7aee-5347-4771-80e9-7099f50857db,txt,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.74,50.205
16,2024-04-26 14:28:16.973000+00:00,"{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}",InDoRES,non renseigné,-,-,"Climatology, meteorology, atmosphere",France,-,-,-,-,-,-,-,-,Temperature time series of Blois forest - IMPRINT,License,4f4bee16-79dc-4ee2-ba6b-5a81a35be66e,txt,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,1.26,47.57
17,2024-04-26 14:18:37.457000+00:00,"{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}",InDoRES,edysan (ecologie et dynamique des systèmes anthropisés) - umr 7058 - cnrs/upjv,-,-,"Climatology, meteorology, atmosphere",France,-,-,-,-,-,-,-,-,Temperature time series of Aigoual forest - IMPRINT,License,b69fea4b-587f-4116-b156-dd6a8d7442b3,txt,114,Noémie Tomadini,ISO 19115:2003/19139,,,,,,,,,,,2024,3.545,44.099999999999994
