createDate,location,groupPublished,Org,format,uuid,"resourceTitleObject.default",recordOwner,"cl_status.default","cl_topic.default","cl_accessConstraints.default","cl_hierarchyLevel.default","keywordType-.default","keywordType-discipline.default","keywordType-location.default","keywordType-place.default","keywordType-stratum.default","keywordType-temporal.default","keywordType-theme.default","otherKeywords-theme.default","th_AGROVOC.default","th_anaee-france_locations.default","th_anaeeThes.default","th_Autre.default","th_Biodiversite_tree.default","th_Biodiversite.default","th_Continentscountriessearegionsoftheworld.default","th_envthes.default","th_ENVTHES.default","th_external-place-departements.default","th_external-place-ore.default","th_external-place-thematiques.default","th_external-theme-gemet.default","th_gemet_tree.default","th_gemet.default","th_GEMETinspirethemes-version1-0.default","th_geobretagne.default","th_Groupthemes.default","th_httpinspireeceuropaeuapplicationschema-applicationschema.default","th_httpinspireeceuropaeutheme-theme_tree.default","th_httpinspireeceuropaeutheme-theme.default","th_inspire-service-taxonomy.default","th_INSPIRE.default","th_INSPIREthemes.default","th_loterre-BHL.default","th_OPENDATA.default","th_otherKeywords-.default","th_otherKeywords-discipline.default","th_otherKeywords-place.default","th_otherKeywords-stratum.default","th_otherKeywords-temporal.default","th_otherKeywords-theme.default","th_prodige.default","th_RegionFR_2017_tree.default","th_RegionFR_2017.default","th_RegionFR.default","th_regions_tree.default","th_regions.default","th_reseaudeszonesateliers.default","th_rza.default"
"May 3, 2024 @ 09:34:23.491","{
  ""coordinates"": [
    1.6118999999999999,
    44.802049999999994
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet","UMR 5175 Centre d'Ecologie Fonctionnelle & Evolutive",XLS,"73eb98b6-cf06-4fae-9eaa-539011d5aa85","Flying, feeding and perching data recorded on captive vultures from Rocher des Aigles","Noémie Tomadini",Completed,"Biota, Environment","Intellectual property rights","-","Griffon Vultures, Social information, Movement decisions, Landscape exploration, Unpredictable resource, Hierarchy","-","-","-","-","-","fauna, Species distribution, fauna","-","-","-","-","-","ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^biocenosis, ecological system^ecosphere^biosphere^ecosystem^biocenosis^biota, ecological system^ecosphere^biosphere^ecosystem^biocenosis^biota^fauna",fauna,"-","-","-","-","-","-","-","-","-","-","-","-","-","Species distribution","Species distribution","-","-","-","-","-","Griffon Vultures, Social information, Movement decisions, Landscape exploration, Unpredictable resource, Hierarchy","-","-","-","-","-","-","-","-","-","-","-","-","-"
"May 2, 2024 @ 14:32:46.534","{
  ""coordinates"": [
    5.3313,
    44.870450000000005
  ],
  ""type"": ""Point""
}","OHM_VR","UMR 5600 EVS - ENS de Lyon",".shp, .tif","230d544d-08a1-4701-abdc-aead2c6172d2","Cartographie multi-temporelle (1950-2020) de la végétation dans la plaine alluviale du Rhône","Samuel Dunesme","-","Eaux intérieures, Hydrographie, Environnement","Droit de propriété intellectuelle / Droit patrimonial","Jeu de données","-","-","-","OHM VR, Rhône, Plaine alluviale, Cours du Rhône français","-","-","Végétation, Cartographie, Evolution, Occupation des terres","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres","Occupation des terres","-","-","-","-","-","-","-","OHM VR, Rhône, Plaine alluviale","-","-","Végétation, Cartographie, Evolution","-","-","-","-","-","-","-","-"
"May 2, 2024 @ 09:27:50.324","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","InDoRES, all, intranet","UMR 5175 Centre d'Ecologie Fonctionnelle & Evolutive",XLS,"03e1680d-06b6-453f-922c-85080a5f057e","Genotypic and phenotypic data of ancestral and descendant populations of Viola arvensis in four location of the Parisian region","Noémie Tomadini",Completed,Biota,"Intellectual property rights","-","floral traits, vegetative traits, Viola arvensis, plant-pollinator interaction","-","-",France,"-","-","flora, population genetics, Habitats and biotopes, flora (biology)","-","-","-","-","-","ecological parameter, ecological parameter^ecological genetics, ecological parameter^ecological genetics^population genetics, ecological system, ecological system^ecosphere, ecological system^ecosphere^biosphere, ecological system^ecosphere^biosphere^ecosystem, ecological system^ecosphere^biosphere^ecosystem^biocenosis, ecological system^ecosphere^biosphere^ecosystem^biocenosis^biota, ecological system^ecosphere^biosphere^ecosystem^biocenosis^biota^flora","flora, population genetics","-","-","-","-","-","-","-","-","-","-","-","-","-","Habitats and biotopes","Habitats and biotopes","-","-","-","-","-","floral traits, vegetative traits, Viola arvensis, plant-pollinator interaction","-","-","-","-","-","-","-","-","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Apr 29, 2024 @ 11:07:00.004","{
  ""coordinates"": [
    4.773669,
    45.4107275
  ],
  ""type"": ""Point""
}","OHM_VR","UMR 5600 EVS - ENS de Lyon",XLS,"ec109c29-43c3-412e-8aaf-069eff6655c4","Evaluation des polluants organiques présents dans les sédiments de casiers Girardon du Rhône (2018)","Samuel Dunesme","-",Environnement,"Droit de propriété intellectuelle / Droit patrimonial","Jeu de données","-","-","-","Rhône, OHM VR, Secteur de Peyraud, Vieux Rhône de Péage-de-Roussillon (PK 61.5)","-","-","Contaminants organiques, Casier Girardon, Vers de terre, Plantes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Rhône, OHM VR","-","-","Contaminants organiques, Casier Girardon, Vers de terre, Plantes","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:24.000","-",all,"-","PDF, OGC:WMC","a7e9dd72-9ed8-466a-8c56-34deba22ff51","Template for map","Noémie Tomadini","-","(empty)","-",Dataset,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,"-","-","3bdddccd-08d1-4b84-a4aa-07da0a138612","Template for Vector data in ISO19139
 (preferred!)","Noémie Tomadini","On going",Boundaries,Copyright,"-","-","-","-",World,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",World,"-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,"-","-","45260471-60dd-43be-99d3-2ff54c4c6cf5","Template for INSPIRE SDS metadata","Noémie Tomadini",Completed,"-","Other restrictions",Service,"-","-","-","-","-","-","GEONETWORK, OSGeo","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GEONETWORK, OSGeo","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,"-","-","3e99fc6e-9221-44b7-991c-d0209c0dc2d8","Template for Raster data in ISO19139","Noémie Tomadini","On going",Boundaries,Copyright,"-","-","-","-",World,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",World,"-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}",all,"-","-","aa3d5bd2-2d07-4254-b6f8-51dabfdbac6d","Template for WMS service in ISO19139/119","Noémie Tomadini",Completed,"-","-",Service,"-","-","-","-","-","-",WMS,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",WMS,"-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","-",all,"-","-","e45a8ecb-3623-4c3f-933e-0b929acdb465","Deegree22 WFS Fragments Philosopher Database Test Template","Noémie Tomadini","-","(empty)","-",Dataset,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
