createDate,location,"cl_topic.langfre","keywordType-.langfre","keywordType-discipline.langfre","keywordType-place.langfre","keywordType-stratum.langfre","keywordType-temporal.langfre","keywordType-theme.langfre","tag.langfre","th_AGROVOC.langfre","th_anaee-france_locations.langfre","th_anaeeThes.langfre","th_Autre.langfre","th_Biodiversite.langfre","th_ENVTHES.langfre","th_external-place-departements.langfre","th_external-place-ore.langfre","th_external-theme-gemet.langfre","th_gemet-en-fr-de-nl-it-es.langfre","th_gemet-fr-en-pt-es_4-1-4.langfre","th_gemet.langfre","th_GEMETinspirethemes-version1-0.langfre","th_geobretagne.langfre","th_Groupthemes.langfre","th_httpinspireeceuropaeuapplicationschema-applicationschema.langfre","th_httpinspireeceuropaeutheme-theme.langfre","th_inspire-service-taxonomy.langfre","th_INSPIRE.langfre","th_INSPIREMetadataRegulation12052008EC.langfre","th_INSPIREthemes.langfre","th_loterre-BHL.langfre","th_OPENDATA.langfre","th_otherKeywords-.langfre","th_otherKeywords-discipline.langfre","th_otherKeywords-place.langfre","th_otherKeywords-stratum.langfre","th_otherKeywords-temporal.langfre","th_otherKeywords-theme.langfre","th_prodige.langfre","th_RegionFR_2017.langfre","th_RegionFR.langfre","th_regions.langfre","th_reseaudeszonesateliers.langfre","th_rza.langfre","th_variableAnaEE.langfre","th_VariableAnaEE.langfre"
"May 3, 2024 @ 09:34:23.491","{
  ""coordinates"": [
    1.6118999999999999,
    44.802049999999994
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"May 2, 2024 @ 14:32:46.534","{
  ""coordinates"": [
    5.3313,
    44.870450000000005
  ],
  ""type"": ""Point""
}","Eaux intérieures, Hydrographie, Environnement","-","-","OHM VR, Rhône, Plaine alluviale, Cours du Rhône français","-","-","Végétation, Cartographie, Evolution, Occupation des terres","OHM VR, Rhône, Plaine alluviale, Végétation, Cartographie, Evolution, Occupation des terres, Cours du Rhône français","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres","-","-","-","-","-","-","-","-","OHM VR, Rhône, Plaine alluviale","-","-","Végétation, Cartographie, Evolution","-","-","-","-","-","-","-","-"
"May 2, 2024 @ 09:27:50.324","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:07:00.004","{
  ""coordinates"": [
    4.773669,
    45.4107275
  ],
  ""type"": ""Point""
}",Environnement,"-","-","Rhône, OHM VR, Secteur de Peyraud, Vieux Rhône de Péage-de-Roussillon (PK 61.5)","-","-","Contaminants organiques, Casier Girardon, Vers de terre, Plantes","Rhône, OHM VR, Contaminants organiques, Casier Girardon, Vers de terre, Plantes, Secteur de Peyraud, Vieux Rhône de Péage-de-Roussillon (PK 61.5)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Rhône, OHM VR","-","-","Contaminants organiques, Casier Girardon, Vers de terre, Plantes","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:24.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:23.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:22.000","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","Limites politiques et administratives","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 29, 2024 @ 11:04:22.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 15:11:14.356","{
  ""coordinates"": [
    -61.840999999999994,
    16.103
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 14:36:36.367","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 14:28:16.973","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 14:18:37.457","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 11:59:52.955","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 11:50:25.557","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 11:33:40.087","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 11:19:31.657","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 11:03:14.063","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 10:53:42.520","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 10:34:02.107","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 10:22:09.545","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 26, 2024 @ 09:39:24.637","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 25, 2024 @ 11:44:53.771","{
  ""coordinates"": [
    3.74,
    50.205
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 25, 2024 @ 11:32:37.208","{
  ""coordinates"": [
    1.26,
    47.57
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 25, 2024 @ 10:28:08.819","{
  ""coordinates"": [
    3.545,
    44.099999999999994
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 25, 2024 @ 09:42:00.600","{
  ""coordinates"": [
    2.525,
    47.120000000000005
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 24, 2024 @ 14:28:24.015","{
  ""coordinates"": [
    94.34,
    20.24
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 22, 2024 @ 11:18:43.613","{
  ""coordinates"": [
    7.75,
    48.575
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 17, 2024 @ 12:30:22.000","{
  ""coordinates"": [
    -1.671701,
    48.111250999999996
  ],
  ""type"": ""Point""
}","Environnement, Biologie, faune et flore","-","Araneae, Climate warming, Intraspecific trait variation, Morphological traits, Urban ecology, Urban heat island","-","-","-","Habitats et biotopes, Répartition des espèces, Installations de suivi environnemental, écologie urbaine","Araneae, Climate warming, Intraspecific trait variation, Morphological traits, Urban ecology, Urban heat island, Habitats et biotopes, Répartition des espèces, Installations de suivi environnemental, écologie urbaine","-","-","-","-","-","-","-","-","-","-","-","écologie urbaine","-","-","-","-","Habitats et biotopes, Répartition des espèces, Installations de suivi environnemental","-","-","-","-","-","-","-","Araneae, Climate warming, Intraspecific trait variation, Morphological traits, Urban ecology, Urban heat island","-","-","-","-","-","-","-","-","-","-","-","-"
"Apr 15, 2024 @ 15:02:44.000","{
  ""coordinates"": [
    -1.673728,
    48.2399325
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences, Environnement, Biologie, faune et flore","-","-","Zone Atelier Armorique ZAAr","-","-","Répartition des espèces, Installations de suivi environnemental, Habitats et biotopes, donnée environnementale, données géoréférencées, écologie scientifique","Zone Atelier Armorique ZAAr, Répartition des espèces, Installations de suivi environnemental, Habitats et biotopes, donnée environnementale, données géoréférencées, écologie scientifique","-","-","-","-","-","-","-","-","-","-","-","donnée environnementale, données géoréférencées, écologie scientifique","-","-","-","-","Répartition des espèces, Installations de suivi environnemental, Habitats et biotopes","-","-","-","-","-","-","-","-","Zone Atelier Armorique ZAAr","-","-","-","-","-","-","-","-","-","-","-"
